Molecule Name,SMILES,Catalog,Supplier,Protease Assay (Screening): Run Conditions,Protease Assay (Screening): Target,Protease Assay (Screening): Concentration (uM),Protease Assay (Screening): FI 480/520 (ex/em) (RFU),Protease Assay (Screening): Activity (%),"Protease Assay (Screening): Mean corrected activity (%) [Target: Mpro, JIRA: 11695, Readout: FI, Concentration: 10.0]","Protease Assay (Screening): Mean corrected activity (%) [Target: Mpro, JIRA: 11695, Readout: FI, Concentration: 10.0] Standard Deviation (±)","Protease Assay (Screening): Mean corrected activity (%) [Target: Mpro, JIRA: 11695, Readout: FI, Concentration: 10.0] Count"
PCM-0220489,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(NC(=O)CCl)=C(OC)C=C1,Z56886487,Enamine Mpro Focus Library,Hit validation C,Mpro,10,4525,10.1,11.3,4.5,3
PCM-0220489,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(NC(=O)CCl)=C(OC)C=C1,Z56886487,Enamine Mpro Focus Library,Hit validation B,Mpro,10,28984,16.3,11.3,4.5,3
PCM-0220489,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(NC(=O)CCl)=C(OC)C=C1,Z56886487,Enamine Mpro Focus Library,Hit validation A,Mpro,10,16747,7.5,11.3,4.5,3
PCM-0220052,CN(CC(=O)NC1=C(Br)C=CC=C1)C(=O)CCl,Z57054209,Enamine Mpro Focus Library,Hit validation C,Mpro,10,8895,24.6,26.1,8,3
PCM-0220052,CN(CC(=O)NC1=C(Br)C=CC=C1)C(=O)CCl,Z57054209,Enamine Mpro Focus Library,Hit validation B,Mpro,10,53144,34.8,26.1,8,3
PCM-0220052,CN(CC(=O)NC1=C(Br)C=CC=C1)C(=O)CCl,Z57054209,Enamine Mpro Focus Library,Hit validation A,Mpro,10,29690,18.9,26.1,8,3
PCM-0220024,COC(=O)C1=CC(=CC(=C1)N1C(C)=CC(C(=O)CCl)=C1C)C(=O)OC,Z56775594,Enamine Mpro Focus Library,Hit validation C,Mpro,10,3857,7.9,9,4.5,3
PCM-0220024,COC(=O)C1=CC(=CC(=C1)N1C(C)=CC(C(=O)CCl)=C1C)C(=O)OC,Z56775594,Enamine Mpro Focus Library,Hit validation B,Mpro,10,25939,14,9,4.5,3
PCM-0220024,COC(=O)C1=CC(=CC(=C1)N1C(C)=CC(C(=O)CCl)=C1C)C(=O)OC,Z56775594,Enamine Mpro Focus Library,Hit validation A,Mpro,10,14151,5.2,9,4.5,3
PCM-0220020,CC1=C(N2C=CC=CC2=C1C(=O)CCl)C(=O)C1=CC=C(F)C=C1,Z56921112,Enamine Mpro Focus Library,Hit validation C,Mpro,10,1831,1.2,5.1,8.1,3
PCM-0220020,CC1=C(N2C=CC=CC2=C1C(=O)CCl)C(=O)C1=CC=C(F)C=C1,Z56921112,Enamine Mpro Focus Library,Hit validation B,Mpro,10,26575,14.5,5.1,8.1,3
PCM-0220020,CC1=C(N2C=CC=CC2=C1C(=O)CCl)C(=O)C1=CC=C(F)C=C1,Z56921112,Enamine Mpro Focus Library,Hit validation A,Mpro,10,7953,-0.3,5.1,8.1,3
PCM-0220018,CC1=CC(C(=O)CCl)=C(C)N1C1=CC(=CC=C1)S(=O)(=O)N1CCOCC1,Z56911906,Enamine Mpro Focus Library,Hit validation C,Mpro,10,25402,79,79.3,3.7,3
PCM-0220018,CC1=CC(C(=O)CCl)=C(C)N1C1=CC(=CC=C1)S(=O)(=O)N1CCOCC1,Z56911906,Enamine Mpro Focus Library,Hit validation B,Mpro,10,116349,83.1,79.3,3.7,3
PCM-0220018,CC1=CC(C(=O)CCl)=C(C)N1C1=CC(=CC=C1)S(=O)(=O)N1CCOCC1,Z56911906,Enamine Mpro Focus Library,Hit validation A,Mpro,10,93738,75.7,79.3,3.7,3
PCM-0220014,CC1=CC(C(=O)CCl)=C(C)N1CC1COC2=C(O1)C=CC=C2,Z56948287,Enamine Mpro Focus Library,Hit validation C,Mpro,10,1936,1.6,3.7,3,3
PCM-0220014,CC1=CC(C(=O)CCl)=C(C)N1CC1COC2=C(O1)C=CC=C2,Z56948287,Enamine Mpro Focus Library,Hit validation B,Mpro,10,16999,7.1,3.7,3,3
PCM-0220014,CC1=CC(C(=O)CCl)=C(C)N1CC1COC2=C(O1)C=CC=C2,Z56948287,Enamine Mpro Focus Library,Hit validation A,Mpro,10,11025,2.4,3.7,3,3
PCM-0219789,CSCCC(NS(=O)(=O)C=CC1=CC=CC=C1)C(=O)N1CCN(CC1)C(=O)C1=CC=CO1,Z30621433,Enamine Mpro Focus Library,Hit validation C,Mpro,10,30427,95.6,86.6,7.8,3
PCM-0219789,CSCCC(NS(=O)(=O)C=CC1=CC=CC=C1)C(=O)N1CCN(CC1)C(=O)C1=CC=CO1,Z30621433,Enamine Mpro Focus Library,Hit validation B,Mpro,10,115565,82.5,86.6,7.8,3
PCM-0219789,CSCCC(NS(=O)(=O)C=CC1=CC=CC=C1)C(=O)N1CCN(CC1)C(=O)C1=CC=CO1,Z30621433,Enamine Mpro Focus Library,Hit validation A,Mpro,10,100343,81.6,86.6,7.8,3
PCM-0219788,COC1=C(OC(F)F)C=CC(=C1)C1CC(=NN1C(=O)CCl)C1=CC=CS1,Z56955923,Enamine Mpro Focus Library,Hit validation C,Mpro,10,1849,1.3,0.7,0.8,3
PCM-0219788,COC1=C(OC(F)F)C=CC(=C1)C1CC(=NN1C(=O)CCl)C1=CC=CS1,Z56955923,Enamine Mpro Focus Library,Hit validation B,Mpro,10,8880,0.9,0.7,0.8,3
PCM-0219788,COC1=C(OC(F)F)C=CC(=C1)C1CC(=NN1C(=O)CCl)C1=CC=CS1,Z56955923,Enamine Mpro Focus Library,Hit validation A,Mpro,10,8117,-0.2,0.7,0.8,3
